惠普(HP)战66四代 锐龙版15.6英寸轻薄笔记本电脑(Zen3架构 8核 R7-5800U 16G 512G 400尼特高色域 一年上门),5099.00,20万+条评价,惠普京东自营官方旗舰店
联想（Lenovo）小新Air14 锐龙版 14英寸 全面屏轻薄笔记本电脑 6核R5-5500U 16G 512G 高色域,4046.00,1万+条评价,联想京东自营官方旗舰店
联想笔记本电脑小新Pro14锐龙版 14英寸全面屏办公轻薄本(8核标压R7-5800H 16G 512G 2.8K 90Hz 护眼屏)银,5399.00,20万+条评价,联想京东自营旗舰店
联想小新Air14 2021锐龙R5(全新7nm)六核超轻薄笔记本电脑 学生办公设计游戏高色域轻薄本 升配【R5 5500U 8G内存 512G固态】,4199.00,5万+条评价,联想航电授权专卖店
攀升MaxBook P2 15.6英寸超轻薄大屏办公笔记本电脑 十一代四核N5100 12G 256G【JD物流】,1999.00,2000+条评价,攀升京东自营旗舰店
联想（Lenovo）小新Air14 Plus 酷睿版 14英寸全面屏轻薄笔记本电脑 新】i5-1155G7 16G 512G 2.2K,5046.00,5000+条评价,联想京东自营官方旗舰店
华为笔记本电脑MateBook 14s 2021 11代酷睿i7-11370H 16G 512G锐炬显卡/14.2英寸全面触控屏/轻薄办公本 灰,7539.00,10万+条评价,华为京东自营官方旗舰店
华为笔记本电脑MateBook 14s 2021 11代酷睿i5-11300H 16G 512G锐炬显卡/14.2英寸全面触控屏/轻薄办公本 灰,6539.00,10万+条评价,华为京东自营官方旗舰店
荣耀MagicBook 14 2021 锐龙版 14英寸全面屏轻薄笔记本电脑(R5 5500U 16G 512G 7nm 多屏协同 高色域)冰河银,3999.00,5万+条评价,荣耀京东自营旗舰店
【4本装】朗捷商务笔记本子a5羊巴皮面记事本复古笔记本文具b5加厚日记本A4会议记录本可定制logo 4本通用装A5（黑色1，棕色1，卡其色1，酒红1）,29.80,20万+条评价,朗捷京东自营旗舰店
惠普（HP）战99 15.6英寸高性能笔记本设计师本工作站（i7-11800H/32G/1TSSD/T600独显/高色域/IR/1年上门）,9799.00,1万+条评价,惠普京东自营官方旗舰店
kinbor手账本A5简约记事本子文具笔记本子刺绣款手帐本 锦鲤大王DTB6047,129.00,1万+条评价,kinbor京东自营旗舰店
kinbor 6件套手帐新年礼盒创意礼物文具套装(B6笔记本子/钢笔/墨囊/贴纸）晚安故事DTB6520,59.00,2000+条评价,kinbor京东自营旗舰店
白金丽人A4超厚康奈尔笔记本子文具a4初中错题本高中加厚读书课堂考研记事本 A4康奈尔横线款/超厚416页/未来可期/黑色,18.50,1万+条评价,白金丽人办公旗舰店
联想笔记本电脑 拯救者R9000X 15.6英寸高性能轻薄游戏本(锐龙8核R7-5800H 16G 512G RTX3060 2.5k 165Hz)灰,7999.00,10万+条评价,联想京东自营旗舰店
小米 RedmiG 2021酷睿版 16.1英寸游戏笔记本电脑(十一代酷睿i5 11260H 16G 512G RTX3050 144Hz电竞屏),5799.00,2万+条评价,小米京东自营旗舰店
戴尔(DELL)游匣G15 15.6英寸游戏笔记本电脑(11代英特尔酷睿i5-11260H 16G 512G RTX3050 120Hz )耀夜黑,5799.00,20万+条评价,戴尔京东自营官方旗舰店
联想拯救者R9000P 2021款电竞游戏笔记本电脑 RTX3060独显 八核新锐龙R7-5800H 16G内存 512G固态 标配版 16英寸 2.5K超高清｜165Hz专业电竞屏,8999.00,10万+条评价,联想华东授权专卖店
联想笔记本电脑 拯救者Y7000P 英特尔酷睿i7 15.6英寸电竞游戏本(11代i7-11800H 16G 512G RTX3060 165Hz )黑,7999.00,5万+条评价,联想京东自营旗舰店
联想笔记本电脑 拯救者Y7000P 15.6英寸高性能电竞游戏本(11代i7-11800H 16G 512G RTX3050Ti 165Hz高色域屏),7299.00,5万+条评价,联想京东自营旗舰店
联想拯救者R9000P 16英寸游戏笔记本电脑(新锐龙 8核 R7-5800H 16G 512G RTX3050Ti 2.5k 165Hz100%sRGB)灰,7299.00,10万+条评价,联想京东自营旗舰店
荣耀MagicBook 14 2021 锐龙版 14英寸全面屏轻薄笔记本电脑(R5 5500U 16G 512G 7nm 多屏协同 高色域)冰河银,3999.00,5万+条评价,荣耀京东自营旗舰店
ROG幻16 2022 第12代英特尔酷睿16英寸设计师高性能游戏笔记本电脑(i7-12700H 16G 512G RTX3060 2.5K165Hz),11499.00,2000+条评价,玩家国度ROG京东自营官方旗舰店
小米RedmiG 16.1英寸 2021款锐龙版 游戏电竞笔记本电脑( 8核 R7-5800H 16G 512G RTX3060 144Hz电竞屏),6999.00,2万+条评价,小米京东自营旗舰店
神舟(HASEE)战神S7-TA5NB 15.6英寸游戏笔记本电脑 (新11代酷睿i5-11260H RTX3050 4G 144Hz 8G512GSSD),4899.00,10万+条评价,神舟电脑京东自营旗舰店
戴尔(DELL)游匣G15 15.6英寸游戏笔记本电脑(11代英特尔酷睿i7-11800H 16G 512G RTX3060 165Hz 100%sRGB)黑,7799.00,20万+条评价,戴尔京东自营官方旗舰店
OMEN暗影精灵7 16.1英寸游戏笔记本电脑(i5-11400H 16G 512GSSD RTX3050Ti 4G独显 高色域),5969.00,10万+条评价,惠普（HP）OMEN暗影精灵京东自营旗舰店
华硕无畏Pro15 锐龙版 OLED轻薄游戏电竞笔记本电脑(R7-5800H 16G 512G 100%DCI-P3高色域600尼特 RTX3050)银,5999.00,5万+条评价,华硕京东自营官方旗舰店
RedmiBookPro15锐龙版 15英寸高性能轻薄笔记本电脑(标压R7-5800H 16+512G 3.2K全面屏 铝合金机身)深空灰,4799.00,5万+条评价,小米京东自营旗舰店
联想小新Air14 2021锐龙R5(全新7nm)六核超轻薄笔记本电脑 学生办公设计游戏高色域轻薄本 标配【R5 5500U 16G内存 512G固态】,5099.00,5万+条评价,联想航电授权专卖店
RedmiBook Pro 15增强版 15.6英寸轻薄笔记本电脑（标压i5-11320H 16+512G 3.2K 90HZ全面屏 铝合金机身）灰,4599.00,5万+条评价,小米京东自营旗舰店
Apple MacBook Pro 13.3 八核M1芯片 16G 512G SSD 深空灰 笔记本电脑 轻薄本 Z11C,12999.00,10万+条评价,Apple产品京东自营旗舰店
华为笔记本电脑MateBook D 15 2022款 15.6英寸 11代酷睿 i7 16G+512G 集显 轻薄本/护眼全面屏/华为分享 灰,5899.00,5000+条评价,华为京东自营官方旗舰店
联想小新Pro14英特尔Evo平台超能轻薄本酷睿i5笔记本电脑 低蓝光护眼 90Hz高刷新率 i5-11320H 16G 512G 2.8k屏,5046.00,2000+条评价,联想京东自营官方旗舰店
联想（Lenovo）小新Air14 14英寸 全面屏超轻薄笔记本电脑 i5-1155G7 16G 512G 锐炬显卡 100%sRGB高色域,4446.00,1万+条评价,联想京东自营官方旗舰店
